"1;Caesarstone;Frosty Carina 5141;no CM;1;AVAILABLE;1714928279;3.0;62.50x64.25"
"2;Zenith;Amethyst;no CM;1;AVAILABLE;1714928279;3.00;63.75x55.50"
"3;MSI;Chakra Beige;no CM;1;AVAILABLE;1714928279;2.00;65.50x66.00"
"4;Caesarstone;Nougath 6600;no CM;1;AVAILABLE;1714928279;3.00;63.38x55.50"
"5;Cosentino;Statuario;no CM;1;AVAILABLE;1714928279;3.00;63.00x48.75"
"6;Zenith;Super White;;1;AVAILABLE;1714928279;3.00;64.00x44.75"
"7;Zenith;Carrara Cassa;LL;1;AVAILABLE;1714928279;2.00;34.25x12.50x19.00x52.00x53.00"
"8;Hanstone;Kindred;no CM;1;AVAILABLE;1714928279;3.00;65.00x50.00"
"9;Cambria;Summerhill;no CM;1;AVAILABLE;1714928279;3.00;52.50x55.25"
"10;Granite;Iceburg;no CM;1;AVAILABLE;1714928279;3.00;63.25x52.50"
"11;Caesarstone;Raven 4120;no CM;1;AVAILABLE;1714928279;3.00;57.75x56.50"
"12;Caesarstone;Cosmo White 5130;no CM;1;AVAILABLE;1714928279;3.00;57.00x53.50"
"13;Silestone;ET Bella;no CM;1;AVAILABLE;1714928279;3.00;62.50x45.50"
"14;Silestone;Pietra;no CM;1;AVAILABLE;1714928279;3.00;62.50x46.25"
"15;Masterpiece;Copacabana;;1;AVAILABLE;1714928279;3.00;57.25x48.00"
"16;MSI;Babylon Grey;no CM;1;AVAILABLE;1714928279;3.00;60.25x45.50"
"17;Hanstone;Awaken;;2;AVAILABLE;1714928279;2.00;97.00x32.50"
"18;Silestone;Noctis Suede;no CM;2;AVAILABLE;1714928279;2.00;129.50x23.75"
"19;Caesarstone;Nougath 6600;no CM;2;AVAILABLE;1714928279;2.00;129.75x25.75"
"20;Cambria;Galloway;;2;AVAILABLE;1714928279;3.00;89.50x30.00"
"21;Zenith;Calacatta Leyla;missing right bottom corner;2;AVAILABLE;1714928279;3.00;94.25x28.00"
"22;New Age;Civita;;5;AVAILABLE;1714928279;2.00;77.00x24.50"
"23;Hanstone;Calacatta Extra;no CM;2;AVAILABLE;1714928279;3.00;130.25x26.00"
"24;Hanstone;Royale Blanc;no CM;2;AVAILABLE;1714928279;2.00;129.00x22.00"
"25;Cosentino;Eternal Noir;no CM;2;AVAILABLE;1714928279;3.00;128.50x24.50"
"26;Cambria;Inverness Frost;;2;AVAILABLE;1714928279;3.00;101.25x24.50"
"27;Silestone;Calacatta Classic;no CM;2;AVAILABLE;1714928279;3.00;129.00x26.00"
"28;Hanstone;Smoke;;3;AVAILABLE;1714928279;2.00;103.25x31.25"
"29;Silestone;Poblenou Suede;;3;AVAILABLE;1714928279;2.00;113.00x34.00"
"30;Granite;Tajmahal;no CM;3;AVAILABLE;1714928279;3.00;133.00x31.25"
"31;Silestone;Pietra;no CM;3;AVAILABLE;1714928279;3.00;129.25x36.50"
"32;Granite;Tajmahal;defects;3;AVAILABLE;1714928279;3.00;134.00x30.75"
"33;Vicostone;Splendix;no CM;4;AVAILABLE;1714928279;3.00;62.25x32.75"
"34;LX Hausys;Calacatta Sol;;3;AVAILABLE;1714928279;3.00;89.00x37.50"
"35;Caesarstone;London Grey 5000;missing right top corner;3;AVAILABLE;1714928279;3.00;131.25x36.00"
"36;Silestone;Ocean Storm;no CM;3;AVAILABLE;1714928279;3.00;129.50x36.50"
"37;Marble;Cacedonia White;no CM;3;AVAILABLE;1714928279;2.00;124.00x33.50"
"38;Silestone;Tigris Sand;no CM;3;AVAILABLE;1714928279;3.00;119.50x28.50"
"39;Hanstone;Kindred;no CM;3;AVAILABLE;1714928279;3.00;103.25x33.25"
"40;Cosentino;Nolita;;4;AVAILABLE;1714928279;3.00;70.25x35.00"
"41;MSI;Soapstone Metro;;4;AVAILABLE;1714928279;3.00;81.75x27.75"
"42;Vicostone;Bettoglio;;4;AVAILABLE;1714928279;3.00;65.00x29.00"
"43;Hanstone;Whistler;L slab;4;AVAILABLE;1714928279;2.00;37.00x30.50x6.25x32.75"
"44;Caesarstone;Symphony Grey 5133;no CM;4;AVAILABLE;1714928279;3.00;80.75x33.00"
"45;MSI;Galant Grey;;4;AVAILABLE;1714928279;3.00;73.50x38.50"
"46;Hanstone;Tranquility;no CM;4;AVAILABLE;1714928279;3.00;47.00x36.00"
"47;Cosentino;Ocean Jasper;no CM;4;AVAILABLE;1714928279;3.00;62.50x38.50"
"48;Masterpiece;Copacabana;no CM;4;AVAILABLE;1714928279;3.00;77.50x29.00"
"49;Hanstone;Soho;;4;AVAILABLE;1714928279;3.00;90.00x26.00"
"50;Vicostone;Misterio;no CM;4;AVAILABLE;1714928279;3.00;63.00x32.50"
"51;Silestone;Lusso;no CM;4;AVAILABLE;1714928279;2.00;72.75x32.00"
"52;Hanstone;Strato;;4;AVAILABLE;1714928279;2.00;68.00x38.00"
"53;Hanstone;Mont;;4;AVAILABLE;1714928279;3.00;59.25x38.00"
"54;LG;Stirling Grey;;4;AVAILABLE;1714928279;3.00;66.50x24.50"
"55;Emerstone;Borghini Silver;no CM;4;AVAILABLE;1714928279;3.00;63.25x25.00"
"56;Cosentino;Ocean Storm;no CM;4;AVAILABLE;1714928279;3.00;62.75x30.50"
"57;Hanstone;Tranquility;defects;4;AVAILABLE;1714928279;2.00;65.00x31.50"
"58;Quorastone;Gioia;no CM;4;AVAILABLE;1714928279;3.00;55.00x36.00"
"59;LG;Tenor;;5;AVAILABLE;1714928279;3.00;65.50x28.50"
"60;Hanstone;Aspen;;5;AVAILABLE;1714928279;3.00;63.00x29.00"
"61;Hanstone;Calacatta Extra;missing bottom corners;5;AVAILABLE;1714928279;3.00;59.50x31.00"
"62;Caesarstone;Frosty Carina 5141;;5;AVAILABLE;1714928279;3.00;62.00x35.75"
"63;Hanstone;Strato;defects;5;AVAILABLE;1714928279;3.00;59.25x25.50"
"64;LX Hausys;Calacatta Sol;no CM;5;AVAILABLE;1714928279;3.00;71.25x25.50"
"65;Emerstone;Borghini Arabescato;no CM;5;AVAILABLE;1714928279;3.00;64.00x29.25"
"66;Caesarstone;Cosmo White 5130;missing bottom right corner;5;AVAILABLE;1714928279;3.00;68.50x29.50"
"67;MSI;Carrara Marmi;;5;AVAILABLE;1714928279;3.00;86.25x26.00"
"68;Quorastone;Silky White;;5;AVAILABLE;1714928279;2.00;73.00x22.75"
"69;Granite;Sky White;no CM;2;AVAILABLE;1714928279;3.00;119.50x24.00"
"70;Hanstone;Campina;;4;AVAILABLE;1714928279;2.00;80.75x41.75"
"71;Hanstone;Calacatta Mont;;5;AVAILABLE;1714928279;3.00;30.00x65.00"
"72;Hanstone;Calacatta Mont;;5;AVAILABLE;1714928279;3.00;63.75x33.50"
"73;Hanstone;Calacatta Extra;no CM;5;AVAILABLE;1714928279;3.00;65.25x33.25"
"74;TCE Stone;???;no CM;5;AVAILABLE;1714928279;3.00;59.25x43.25"
"75;Hanstone;Matternhorn;;5;AVAILABLE;1714928279;2.00;65.00x29.50"
"76;Zenith;Tuscany;missing top right corner;5;AVAILABLE;1714928279;3.00;73.50x37.50"
"77;Zenith;Paragon;;5;AVAILABLE;1714928279;3.00;72.50x38.00"
"78;Cosentino;Noir;no CM;5;AVAILABLE;1714928279;3.00;75.50x436.50"
"79;MSI;Iced White;;5;AVAILABLE;1714928279;2.00;65.25x34.50"
"80;Silestone;Ethernal Glow;;5;AVAILABLE;1714928279;2.00;69.00x39.75"
"81;Caesarstone;Taj Royal 5212;;5;AVAILABLE;1714928279;3.00;89.75x29.50"
"82;Hanstone;Italian Waves;;5;AVAILABLE;1714928279;3.00;88.50x37.00"
"83;MSI;Smoked Pearl;;6;AVAILABLE;1714928279;3.00;75.00x38.00"
"84;Vicostone;Arabescato;;6;AVAILABLE;1714928279;3.00;80.25x38.13"
"85;Caesarstone;Emperadoro 5380;L slab;6;AVAILABLE;1714928279;3.00;42.75x35.50x15.75x50.00"
"86;Hanstone;Rocky Shores;;6;AVAILABLE;1714928279;3.00;97.00x38.25"
"87;Cambria;Swanbridge;no CM;6;AVAILABLE;1714928279;3.00;65.25x44.25"
"88;Caesarstone;Raw Concrete;;6;AVAILABLE;1714928279;3.00;56.50x43.00"
"89;Zenith;Emprodor Brown;;6;AVAILABLE;1714928279;3.00;93.00x36.25"
"90;Zenith;Paragon;;6;AVAILABLE;1714928279;2.00;84.00x37.00"
"91;MSI;Calacatta Venice;;6;AVAILABLE;1714928279;3.00;74.50x36.75"
"92;Cosentino;Ethernal Glow;no CM;6;AVAILABLE;1714928279;3.00;61.75x43.75"
"93;Hanstone;Aura;no CM;3;AVAILABLE;1714928279;2.00;130.75x39.25"
"94;MSI;Calacatta Miraggio Cielo;;6;AVAILABLE;1714928279;3.00;89.50x36.00"
"95;MSI;Soapstone ;no CM;6;AVAILABLE;1714928279;3.00;77.00x40.25"
"96;Zenith;Valdivia;weird shape;6;AVAILABLE;1714928279;3.00;80.00x35.00"
"97;Silestone;Charcoal Soapstone;weird shape;6;AVAILABLE;1714928279;3.00;83.00x39.00"
"98;Marble;White;;6;AVAILABLE;1714928279;2.00;81.25x43.75"
"99;MSI;Calacatta Leon;;6;AVAILABLE;1714928279;2.00;96.00x38.75"
"100;Vicostone;Valley White;left L slab;7;AVAILABLE;1714928279;2.00;32.50x64.25x12.50x57.50"
"101;???;Rock;no CM;6;AVAILABLE;1714928279;3.00;91.50x40.00"
"102;Vicostone;Serra ;no CM;3;AVAILABLE;1714928279;3.00;94.00x32.50"
"103;Caesarstone;Rugged Concrete 4033;;7;AVAILABLE;1714928279;2.00;88.00x37.50"
"104;Zenith;Nordic White;;7;AVAILABLE;1714928279;2.00;54.50x46.75"
"105;Zenith;Mist ;L slab;7;AVAILABLE;1714928279;3.00;64.00x1.25x51.50x35.00"
"106;Hanstone;Leblanc;no CM;7;AVAILABLE;1714928279;2.00;65.25x45.00"
"107;Granite;Madagascar;;7;AVAILABLE;1714928279;3.00;90.50x43.00"
"108;MSI;Calacatta Leon;L slab;7;AVAILABLE;1714928279;3.00;44.50x49.00x78.50"
"109;Quorastone;Downy;no CM;7;AVAILABLE;1714928279;3.00;62.25x48.25"
"110;MSI;Calacatta Botanica;;8;AVAILABLE;1714928279;3.00;88.25x39.25"
"111;Silestone;Eternal Bella;L slab;8;AVAILABLE;1714928279;2.00;44.00x48.75x95.75"
"112;Marble;White;;8;AVAILABLE;1714928279;2.00;108.50x46.50"
"113;Zenith;Cemento;no CM;8;AVAILABLE;1714928279;3.00;104.00x48.00"
"114;Vicostone;Naxos Honed;missing corner;8;AVAILABLE;1714928279;3.00;103.00x37.00"
"115;Granite;Blanco Perla;;8;AVAILABLE;1714928279;2.00;121.00x46.50"
"116;Caesarstone;Black Tempal 5810;no CM;9;AVAILABLE;1714928279;3.00;64.50x54.00"
"117;Caesarstone;Woodlands 6338;left L slab;9;AVAILABLE;1714928279;3.00;55.75x54.25x87.00"
"118;Silestone;Charcoal Soapstone;;1;AVAILABLE;1714928279;2.00;75.00x62.25"
"119;Hanstone;Strato;no CM;9;AVAILABLE;1714928279;2.00;64.50x57.50"
"120;Caesarstone;Arabetto 5171;left L slab;9;AVAILABLE;1714928279;3.00;56.50x39.50x82.50"
"121;Granite;Nero Striatto;no CM;8;AVAILABLE;1714928279;3.00;120.25x39.50"
"122;Vicostone;Vivalorio;no CM;5;AVAILABLE;1714928279;3.00;65.00x33.00"
"123;Caesarstone;Statuario Nuvo;no CM;4;AVAILABLE;1714928279;2.00;55.50x36.00"
"124;Quorastone;Silky White;no CM;1;AVAILABLE;1714928279;2.00;53.75x63.75"
"125;Granite;Shadow Storm;;9;AVAILABLE;1714928279;3.00;107.00x51.00"
"126;Granite;???;;9;AVAILABLE;1714928279;3.00;97.50x51.50"
"127;Granite;General White;;9;AVAILABLE;1714928279;2.00;125.25x50.00"
"128;Granite;Salone;left L slab;9;AVAILABLE;1714928279;3.00;48.50x48.75x105.50"
"129;Hanstone;Fusion;no CM;4;AVAILABLE;1714928279;3.00;64.50x39.00"
"130;Radianz;Statuario Messa;;1;AVAILABLE;1714928279;2.00;52.75x63.25"
"131;Zenith;Calacatta Tuono;left L slab;3;AVAILABLE;1714928279;3.00;126.50x38.00"
"132;Quorastone;Silky White;;1;AVAILABLE;1714928279;2.00;65.50x46.00"
"133;Hanstone;Venetian Avorio;missing bottom right corner;3;AVAILABLE;1714928279;2.00;128.00x34.25"
"134;Hanstone;Strato;missing corner;8;AVAILABLE;1714928279;3.00;103.00x38.25"
"135;Cambria;Montgomery;no CM;8;AVAILABLE;1714928279;3.00;131.50x42.00"
"136;Zenith;Carrara Cassa;no CM;6;AVAILABLE;1714928279;2.00;63.50x38.75"
"137;Zenith;Carrara Cassa;no CM;6;AVAILABLE;1714928279;2.00;63.25x38.25"
"138;Zenith;Carrara Cassa;no CM;6;AVAILABLE;1714928279;2.00;63.75x39.25"
"139;Hanstone;Strato;no CM;3;AVAILABLE;1714928279;3.00;130.00x24.75"
"140;LG;Calacatta Plata;no CM;4;AVAILABLE;1714928279;3.00;64.50x31.50"
"141;Vicostone;Verdelia;no CM;9;AVAILABLE;1714928279;3.00;49.50x65.25"
"142;Quorastone;Gioia;no CM;8;AVAILABLE;1714928279;3.00;126.75x36.25"
